#ITERNUM	METIME1	METIME2
873	1002	1004
874	1002	1002
875	1002	1002
876	1002	1002
877	1002	1002
878	1002	1002
879	1002	1002
880	1002	1002
881	1002	1001
882	1004	1002
883	1002	1002
884	1002	1001
885	1002	1002
886	1002	1002
887	1002	1002
888	1002	1002
889	1002	1001
890	1002	1002
891	1004	1001
892	998	998
893	998	999
894	1002	1002
895	1002	1004
896	1002	1002
897	1002	1001
898	1002	1002
899	1002	1002
900	1004	1002
901	1002	1002
902	1002	1001
903	1002	1002
904	1002	1004
905	1002	1001
906	1002	1002
907	1002	1002
908	1002	1002
909	1004	1002
910	1002	1001
911	1002	1002
912	1002	1002
913	1004	1001
914	1002	1002
915	1002	1002
916	1002	1002
917	1002	1004
918	1002	999
919	998	998
920	998	1001
921	1002	1001
922	1004	1002
923	1002	1002
924	1002	1002
925	1002	1002
926	1002	1003
927	1002	1002
928	1002	1002
929	1002	1001
930	1002	1002
931	1004	1002
932	1002	1002
933	1002	1002
934	1002	1001
935	1002	1004
936	1002	1002
937	1002	1002
938	1002	1002
939	1002	1002
940	1004	1002
941	1002	1002
942	1002	1002
943	1002	1002
944	1002	1004
945	1000	998
946	998	998
947	999	1001
948	1002	1002
949	1004	1002
950	1002	1002
951	1002	1002
952	1002	1002
953	1002	1004
954	1002	1002
955	1002	1001
956	1002	1002
957	1004	1002
958	1002	1002
959	1002	1002
960	1002	1001
961	1002	1002
962	1004	1002
963	1002	1002
964	1002	1002
965	1002	1001
966	1002	1004
967	1002	1002
968	1002	1002
969	1002	1002
970	1002	1002
971	1004	1002
972	1002	998
973	998	998
974	999	1001
975	1002	1004
976	1002	1002
977	1002	1002
978	1002	1002
979	1002	1002
980	1004	1002
981	1002	1001
982	1002	1002
983	1002	1002
984	1041	1004
985	1002	1002
986	1002	1001
987	1002	1002
988	1002	1002
989	1002	1002
990	1002	1002
991	1002	1002
992	1002	1002
993	1004	1002
994	1002	1001
995	1002	1002
996	1002	1002
997	1002	1004
998	1002	1002
999	1001	999
1000	998	998
