#ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS	STD
12658	1002	1002	1204	0	202	2	95	1.07
12659	1003	1003	1204	0	201	2	95	1.07
12660	1005	1004	1205	1	201	3	95	1.07
12661	1003	1003	1203	0	200	2	95	1.07
12662	1002	1002	1204	0	202	2	95	1.07
12663	1003	1003	1203	0	200	2	95	1.07
12664	1003	1003	1205	0	202	2	95	1.07
12665	999	999	1201	0	202	2	95	1.07
12666	1001	1001	1203	0	202	2	95	1.07
12667	1004	1003	1206	1	203	3	95	1.07
12668	1003	1003	1205	0	202	2	95	1.07
12669	1003	1003	1203	0	200	2	95	1.07
12670	1002	1002	1204	0	202	2	95	1.07
12671	1003	1003	1205	0	202	2	95	1.07
12672	1003	1003	1203	0	200	2	95	1.07
12673	1003	1003	1203	0	200	2	95	1.07
12674	1004	1003	1206	1	203	3	95	1.07
12675	1003	1003	1203	0	200	2	95	1.07
12676	1003	1003	1205	0	202	2	95	1.07
12677	1002	1002	1204	0	202	2	95	1.07
12678	1002	1002	1204	0	202	2	95	1.07
12679	1003	1003	1203	0	200	2	95	1.07
12680	1003	1003	1203	0	200	2	95	1.07
12681	1000	1000	1202	0	202	2	95	1.07
12682	1001	1000	1203	1	203	3	95	1.07
12683	1003	1003	1205	0	202	2	95	1.07
12684	1003	1002	1204	1	202	2	95	1.07
12685	1003	1003	1205	0	202	2	95	1.07
12686	1003	1003	1205	0	202	2	95	1.07
12687	1003	1003	1205	0	202	2	95	1.07
12688	1003	1003	1205	0	202	2	95	1.07
12689	1005	1004	1205	1	201	3	95	1.07
12690	1003	1003	1203	0	200	2	95	1.07
12691	1002	1002	1204	0	202	2	95	1.07
12692	1003	1003	1205	0	202	2	95	1.07
12693	1003	1003	1203	0	200	2	95	1.07
12694	1002	1002	1204	0	202	2	95	1.07
12695	1003	1003	1203	0	200	2	95	1.07
12696	1004	1003	1206	1	203	3	95	1.07
12697	1001	1001	1201	0	200	2	95	1.07
12698	999	999	1201	0	202	2	95	1.07
12699	1002	1002	1202	0	200	2	95	1.07
12700	1003	1003	1205	0	202	2	95	1.07
12701	1003	1003	1205	0	202	2	95	1.07
12702	1003	1003	1203	0	200	2	95	1.07
12703	1002	1002	1204	0	202	2	95	1.07
12704	1005	1004	1207	1	203	3	95	1.07
12705	1003	1003	1203	0	200	2	95	1.07
12706	1003	1003	1205	0	202	2	95	1.07
12707	1003	1003	1203	0	200	2	95	1.07
12708	1003	1003	1203	0	200	2	95	1.07
12709	1003	1003	1205	0	202	2	95	1.07
12710	1003	1003	1205	0	202	2	95	1.07
12711	1004	1003	1206	1	203	3	95	1.07
12712	1002	1002	1204	0	202	2	95	1.07
12713	1002	1002	1204	0	202	2	95	1.07
12714	998	998	1198	0	200	2	95	1.08
12715	1003	1003	1205	0	202	2	95	1.08
12716	1003	1003	1205	0	202	2	95	1.08
12717	1002	1002	1206	0	204	2	95	1.08
12718	1005	1004	1205	1	201	3	95	1.08
12719	1003	1003	1203	0	200	2	95	1.08
12720	1002	1002	1204	0	202	2	95	1.08
12721	1002	1002	1205	0	203	2	95	1.07
